Ad_AdAd_cont_11	Ad_AdAd_cont_22	Ad_AdAd_cont_31	Ad_AdAd_cont_32_1	Ad_AdAd_cont_32_2	Ad_AdAd_cont_41	Ad_AdAd_OTC_11	Ad_AdAd_OTC_12	Ad_AdAd_OTC_21	Ad_AdAd_OTC_31	Ad_AdAd_OTC_32	Ad_AdAd_OTC_41	Ad_AdAd_OTC_42	c1	c2	c3	c4	c5	c6	c7	No_Sval_40_OTC	No_Sval_29_OTC	Us_1w_OTC_5_1	Us_1w_OTC_0901	Us_1w_OTC_171	Us_1w_OTC_09_1	Nr_38_XXW	Fi_Fi_No_C2_A1_1	Fi_Fi_No_C2_A1_2	Fi_Ki_1_K	Fi_Ki_1_OTC	Fi_Ki_2_Ki	Fi_Ki_3_OTC	Fi_Ki_4_OTC	Fi_Ki_4K	Fi_Ki_5_K	Fi_Ki_5_OTC	Fi_Ki_K3	Fi_Ki_OTC_2	Fr_Pc_cont_11	Fr_Pc_cont_31	Fr_Pc_cont_32	Fr_Pc_cont_41	Fr_Pc_cont_42	Fr_Pc_OT_3_1	Fr_Pc_OTC_11_1	Fr_Pc_OTC_11_2	Fr_Pc_OTC_21_1	Fr_Pc_OTC_21_2	Fr_Pc_OTC_32	Fr_Pc_OTC_41	Fr_Pc_OTC_42	Gl_3T1	Gl_C_61	Gl_C21_1	Gl_C31	Gl_Gl_T4_5	Gl_K05T_8	Gl_KOGl_C4_6	Gl_KOGl_C5_9	Gl_T21_2	I_A10_1	I_A10_2	I_A10_3	I_A10_4	I_A10_5	I_A10_6	I_A10_7	I_A10_8	I_A2_1	I_A2_2	I_A2_3	I_A2_4	I_A2_5	I_A2_6	I_A2_7	I_A2_8	I_A4_1	I_A4_2	I_A4_3	I_A4_4	I_A4_5	I_A4_6	I_A4_7	I_A4_8	I_A6_1	I_A6_2	I_A6_3	I_A6_4	I_A6_5	I_A6_6	I_A6_7	I_A6_8	I_A8_1	I_A8_2	I_A8_3	I_A8_4	I_A8_5	I_A8_6	I_A8_7	I_A8_8	I_C10_1	I_C10_2	I_C10_3	I_C10_4	I_C10_5	I_C10_6	I_C10_7	I_C10_8	I_C2_1	I_C2_2	I_C2_3	I_C2_4	I_C2_5	I_C2_6	I_C2_7	I_C2_8	I_C4_1	I_C4_2	I_C4_3	I_C4_4	I_C4_5	I_C4_6	I_C4_7	I_C4_8	I_C6_1	I_C6_2	I_C6_3	I_C6_4	I_C6_5	I_C6_6	I_C6_7	I_C6_8	I_C8_1	I_C8_2	I_C8_3	I_C8_4	I_C8_5	I_C8_6	I_C8_7	I_C8_8	I_D10_1	I_D2_1	I_D4_1	I_D6_1	I_D8_1	I_E10_2	I_E10_3	I_E10_4	I_E10_5	I_E10_6	I_E10_8	I_E2_2	I_E2_3	I_E2_4	I_E2_5	I_E2_6	I_E2_8	I_E4_2	I_E4_3	I_E4_4	I_E4_5	I_E4_6	I_E4_8	I_E6_2	I_E6_3	I_E6_4	I_E6_5	I_E6_6	I_E6_8	I_E8_2	I_E8_3	I_E8_4	I_E8_5	I_E8_6	I_E8_8	I_F10_1	I_F2_1	I_F4_1	I_F6_1	I_F8_1	I_G10_2	I_G10_3	I_G10_4	I_G10_5	I_G10_6	I_G10_8	I_G2_2	I_G2_3	I_G2_4	I_G2_5	I_G2_6	I_G2_8	I_G4_2	I_G4_3	I_G4_4	I_G4_5	I_G4_6	I_G4_8	I_G6_2	I_G6_3	I_G6_4	I_G6_5	I_G6_6	I_G6_8	I_G8_2	I_G8_3	I_G8_4	I_G8_5	I_G8_6	I_G8_8	It_Pg_B3C2	Negatif_1	Negatif_2	Negatif_3	Negatif_4	Negatif_5	Negatif_6	No_C_CSO_Finse_1	No_C10D_Finse_1_1	No_C10D_Finse_1_2	No_C6A_control_Finse	No_FC_control_C1A	No_Fi_No_OTC_02D	No_Fi_No_OTC_03A	No_Finse_OTC_04_B1	No_Finse_OTC_05B	No_Fn_Pa_1PC_1	No_Fn_Pa_3_PC_1	No_Fn_Pa_3P_OTC_1	No_Fn_Pa_4_Pc	No_Fn_Pa_BP_C1	No_Fn_Th_03_MC_1	No_Fn_Th_3M_OTC	No_Fn_Th_4_MC	No_Fn_Th_4M_OTC	No_Fn_Th_BM_OTC_1	No_Fr_No_C3D1	No_Fr_Pa_4P_OTC	No_Fr_Pa_BP_OTC_1	No_Fr_Th_BM_C1	No_OTC_010_C_Finse_1	NO_Sk_con_71	No_Sk_MC_OTC_34	No_Sk_No_cont_13	No_Sk_No_cont_36	No_Sk_No_cont_45	No_Sk_No_cont_62	No_Sk_No_cont_86	No_Sk_No_OTC_33	No_Sk_No_OTC_42	No_Sk_No_OTC_64	No_Sk_No_OTC_75	No_Sval_1_OTC	No_Sval_12_MIMO	No_Sval_12_OTC	No_Sval_22_MIMO	No_Sval_22_OTC	No_Sval_23_OTC	No_Sval_28_MIMO	No_Sval_28_OTC	No_Sval_29_MIMO	empty_46	No_Sval_35_OTC	No_Sval_38_MIMO	No_Sval_38_OTC	No_Sval_40_18_OTC	No_Sval_40_MIMO	empty_42	No_Sval_46_MIMO	No_Sval_46_OTC	No_Sval_49_MIMO	No_Sval_6_MIMO	No_Sval_6_OTC	No_Sval_8_MIMO	No_Sval_8_OTC	No_Sval_No_49_OTC	No_U_No_cont_76	No_Ui_C_551	No_Ui_No_C_24	No_Ui_No_C_34	No_Ui_No_cont_45	No_Ui_No_OTC_21	No_Ui_No_OTC_32	No_Ui_No_OTC_42	No_Ui_No_OTC_72	No_UI_OTC_131	No_Ui_OTC_521	No_Ui_OTC_641	empty_68	Sp_Ra_cont_11	Sp_Ra_cont_22	Sp_Ra_cont_32	Sp_Ra_OTC_11_1	Sp_Ra_OTC_11_2	Sp_Ra_OTC_2_1	Sp_Ra_OTC_22	Sp_Ra_OTC_31	Sp_Ra_Sp_cont_21	Sp_Ra_Sp_cont_41_1	Sp_Ra_Sp_cont_41_2	Sp_Ra_Sp_control_31	Sp_Ra_Sp_OTC_42	Sp_Ui_Sp_cont_12	Sp_Ui_Sp_cont_21	Sp_Ui_Sp_cont_22	Sp_Ui_Sp_cont_31	Sp_Ui_Sp_cont_41	Sp_Ui_Sp_cont_42	Sp_Ui_Sp_OTC_11	Sp_Ui_Sp_OTC_12	Sp_Ui_Sp_OTC_32	Sp_UI_Sp_OTC_41	Sp_Ui_Sp_OTC_C31	Sw_CLA_15A_AMBI	Sw_CLA_15A_OTC	Sw_CLA_15B_OTC	Sw_CLA_20B_OTC	Sw_CLA_P_5A_OTC	Sw_CLA_V_15B_AMBI	Sw_JAT_14_OTC_A	Sw_JAT_14_OTC_B	Sw_JAT_14A_AMBI	Sw_JAT_14B_AMBI	Sw_JAT_19_OTC_A	Sw_JAT_19A_AMBI	Sw_JAT_19B_AMBI	Sw_JAT_6_OTC_B	Sw_JAT_6A_AMBI	Sw_JAT_6A_OTC	Sw_JAT_6B_AMBI	Sw_Sw_Walo_12	Sw_Walo_10_32_WC	Sw_Walo_31_AC	Sw_Walo_44_AC	Sw_Walo_72_AC	Swi_Br_12_B_cont	Swi_Br_12_B_OTC	Swi_Br_12A_OTC	Swi_Br_21_A_cont	Swi_Br_21_OTC_B	Swi_Br_21B_cont	Swi_Br_7A_cont	Swi_Bru_7A_OTC	Swi_Bru_7B_OTC	Swi_CLA_20_A_cont	Swi_CLA_ALC_60_TCA	Swi_CLA_ALP_20B_cont	Swi_CLA_APL_cont	Swi_Swi_CLA_ALP_6B_OTC	Swi_Swi_Wahi_24_AC	Swi_Swi_Wahi_72_AC	Swi_Swi_Walo_43_WC	Swi_Swi_Walo_74_WC	Swi_Wahi_11_WC	Swi_Wahi_12_AC	Swi_Wahi_14_WC	Swi_Wahi_22_WC	Swi_Wahi_42_WC	Swi_Wahi_4AC	Swi_Wahi_54_WC	Swi_Walo_13_AC	Swi_Walo_63_WC	Ui_Ui_No_C621	Ui_Ui_Sp_cont_11_1	Ui_Ui_Sp_cont_11_2	Ui_Ui_Sp_OTC_22	Us_1W_CTL_13_1	empty_64	empty_56	Us_1w_OTC_11_R	Us_1w_OTC_11	Us_1w_OTC_15_1	empty_60	empty_51	Us_Nr_16_PXX	Us_Nr_17_xNr	Us_Nr_18_XXW	Us_Nr_21_XXW	Us_Nr_24_XXX	Us_Nr_26_PXX	Us_Nr_31_PXX	Us_Nr_33_XXY	Us_Nr_35_XNX	Us_Nr_41_PXX	Us_Nr_46_PXX	Us_Nr_7x_Nx	Us_Nr6_XXX	Us_Us_Nr_22_XXX	Us_Us_Nr_37_XXX	Us_Us_Nr_5_XNW	Ut_10w_25_AFO	Ut_10w_26_AFO	Ut_23_AFO_Low	Ut_Low_22_AFO	Ut_Low_23_AFO	Ut_Low_25_WFO	Ut_Low_26_WFO	Ut_Low_27_AFO	Ut_Low_27_WFO	Ut_Low_T_24_WFO	Ut_Low_T22_WFO	Ut_Low_T24_AFO	empty_73	Ut_UPT_45_WFO	Ut_UPT_47_AFO	Ut_UPT_47_WFO	Ut_Ut_UPT_42_AFO_1	Ut_Ut_UPT_42_AFO_2	Ut_Ut_UPT_42_WFO	Ut_UT_UPT_43_WFO	Ut_Ut_UPT_44_WFO	Ut_Ut_UPT_45_AFO	Ut_Ut_UPT_46_AFO	Ut_Ut_UPT_46_WFO	Zwi_Val_6_0_11_OTC_1	Zwi_Val_B_011_OTC_1	Zwi_Val_B_02l_OTC_2	Zwi_Val_B_041_OTC_4	Zwi_Val_B_C_81C8	Zwi_Val_B_C11_C1	Zwi_Val_B_C24_C2	Zwi_Val_B_C4_1C4	Zwi_Val_B_C6	Zwi_Val_B_D_81_OTC_8	Zwi_Val_B0616_OTC
ASV_1	5439	455	347	276	0	11	7231	648	394	121	4201	2579	946	0	0	0	0	13	0	0	244	1046	0	1376	109	513	144	0	0	0	0	0	0	0	0	0	0	0	4	1132	712	7291	4330	1146	777	598	0	9567	27	852	944	1870	0	0	0	0	0	132	0	0	0	84	5175	263	14601	140	266	83	0	395	373	120	4514	367	5374	135	0	127	8198	3383	738	0	0	35	0	44	10232	0	837	298	0	26	0	335	1825	1692	1987	0	87	0	26	340	3401	0	537	397	463	722	48	929	5859	0	734	30	0	281	0	113	2271	119	20	2313	2995	52	0	330	503	17	1350	249	3896	307	0	73	33	790	355	884	13539	587	0	232	130	126	190	271	2400	0	228	7613	384	0	1980	66	30	330	698	71	12249	0	7218	892	812	0	4	1049	381	1218	469	0	2865	11	437	8046	1015	0	23201	230	41560	529	81884	0	1686	5917	4053	20	0	6	426	213	126	3562	0	0	0	431	20856	20570	0	0	0	505	1558	2885	0	14872	400	1102	631	178	0	818	0	13	0	38	0	0	12	48	15	60	0	0	180	0	19	0	0	0	0	0	0	0	0	0	470	70	0	0	0	0	13	0	0	46	0	41	0	7	93	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	69	0	258	0	7	0	865	298	39	40	640	19	0	217	32	286	24	1663	0	1773	1186	819	141	297	3534	1917	158	136	0	2056	295	196	716	0	3708	32	6872	3751	2915	3197	197	1896	1284	0	234	100	39	286	18	179	44	92	452	7233	1879	654	513	747	185	555	33	0	21	0	0	109	131	157	446	141	234	116	9	0	484	71	106	0	255	0	0	0	0	36	0	0	0	11	44	0	0	21	3509	1189	48	112	0	0	0	0	0	0	0	0	0	340	1947	777	34	6865	567	2571	258	0	1457	1020	104	1980	7	304	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	11	0	1017	97	256	16	291	990	376	2085	95	105	206
ASV_2	885	0	0	33	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	11	72	0	357	38	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3457	0	0	0	0	37	0	6	0	0	0	0	0	0	3065	0	254	6894	0	0	0	0	352	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	8	0	0	43	0	0	0	60	662	20	0	0	0	0	0	21	0	0	0	214	0	0	0	27378	115	0	0	107	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	4523	0	0	0	0	0	5	26	0	44	70	0	79	0	0	19	32	0	11	0	0	0	48	0	19	0	39	164118	163	0	0	0	0	0	0	260	34	0	0	54	0	104	42	0	0	289	0	24	184	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3838	595	0	44	14	0	0	0	0	0	1196	0	555	0	0	88	111	25	0	0	433	38	28	0	0	0	0	0	29	0	0	0	0	0	0	20	0	0	0	0	0	0	16	61	0	59	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	700	0	287	779	54	42	21	41	0
ASV_3	432	24	0	29	391	0	1313	116	27	143	172	2221	59	0	0	0	0	0	0	0	23	29	0	67	0	1779	19	0	0	1629	2631	1244	17531	72	1771	27	3496	441	15	3531	173	4160	495	1230	632	2388	38	520	118	377	176	1709	0	0	0	0	0	0	0	9	56	94	609	282	940	94	0	50	8	94	365	101	240	321	984	85	0	103	566	388	197	92	226	39	0	97	284	152	511	179	0	16	0	289	749	297	450	0	119	7	0	41	326	119	162	79	87	370	21	104	448	62	261	106	7	834	10	786	1495	279	237	184	235	12	0	310	387	64	73	0	155	37	0	136	829	720	288	609	307	261	0	130	618	256	813	61	221	264	0	631	55	0	365	416	69	34	892	10	538	110	556	928	323	0	0	131	183	106	231	0	190	0	156	334	190	0	6483	136	8312	2960	2747	5	255	978	1009	113	0	89	213	22	64	207	0	407	1074	158	627	464	0	479	129	421	265	238	0	410	122	1574	454	559	10	234	0	0	0	8	0	0	0	24	10	0	6	22	57	43	63	18	0	0	10	543	0	0	15	91	478	14	13	424	41	11	0	114	38	0	0	0	0	28	0	0	0	0	0	0	0	147	0	0	13	0	0	0	73	15	23	0	0	12	20	0	0	43	8	0	2	27	0	0	52	363	26	173	451	0	0	40	166	0	345	112	39	8	137	298	143	27	16	208	114	16	25	59	27	332	11	55	227	626	201	16	101	1053	0	180	1326	344	750	713	165	3118	11	162	12299	0	234	58	11	36	122	245	0	173	83	116	0	33	14	0	0	59	13	0	0	317	15558	134	21	823	60	0	230	22	300	10	45	74	100	12244	0	104	15	18	59	1310	142	0	0	0	0	0	469	0	0	97	203	962	2029	25	1428	438	1552	2586	0	877	987	424	583	50	231	9	26	0	16	39	111	89	0	27	31	106	30	0	14	10	0	46	0	67	0	27	314	15	232	190	88	1490	42	210	455	74	224	42	861	246
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41254	4	23	0	29	19	12	0	15128	0	23	14	37	0	0	10	3378	0	9	18	28	16	0	0	3344	0	22	54	16	23	0	0	2957	5	26	30	0	15	4	0	2507	0	32	14	30	7	0	29	13079	0	17	8	36	8	0	0	8175	0	60	28	38	14	5	0	6558	0	58	14	21	10	9	0	685	0	17	0	15	0	8	0	42830	10058	15871	750	377	0	29	12	25	13	0	0	21	0	23	0	14	0	20	0	0	13	0	0	27	29	29	10	0	0	3	15	32	11	0	0	3896	0	0	0	439	18	13	0	6	9	0	34	21	13	11	0	5	22	21	12	0	0	0	33	93	33	7	24	0	25	0	24	0	24	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	23	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	22	3	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	793	0	29	26	17	0	320	39	36	37	117	122	29	0	0	0	0	0	0	0	8	8	0	70	119	194	151	0	0	5	14	0	30	39	0	6	68	0	0	1718	150	17080	317	957	254	454	0	1759	41	423	269	1125	0	0	0	0	48	0	9	40	16	740	532	81	231	27	86	8	31	2359	101	38	67	98	521	0	6	451	98	62	20	20	314	20	86	2512	240	27	326	35	16	10	5	550	98	36	63	0	50	0	24	1663	701	83	218	62	70	77	37	145	270	17	30	74	8	2013	11	1741	325	53	21	168	118	0	0	2093	226	35	131	118	50	0	0	2016	136	190	85	397	308	14	0	967	470	1392	1528	8365	135	28	34	278	36	0	94	57	21	10	133	98	135	24	196	139	424	0	3	48	140	163	917	7	172	0	669	325	43	16	1066	735	309	689	466	89	45	788	259	6	0	43	76	42	32	75	0	120	367	202	479	163	18	12	32	276	45	235	4	381	29	74	112	25	31	21	14	0	0	9	0	0	0	57	18	0	0	7	10	29	19	0	0	0	0	16	0	0	0	17	54	0	0	0	31	0	6	18	0	0	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	27	153	0	0	11	58	0	1609	401	376	285	467	8689	1541	778	0	44	4374	50	310	44	0	3608	0	8	298	1198	688	72	507	90	0	176	205	380	180	15	67	108	9	30	495	14	0	16	10	0	18	34	24	201	56	37	6	14	37	69	29	14	17	0	0	54	7	156	14	35	230	29	0	11	15	0	203	0	42	83	0	63	51	9	49	126	375	0	0	0	0	0	33	0	0	41	38	1102	146	0	538	42	662	455	0	474	1009	155	190	10	88	11	87	0	87	87	133	82	0	23	19	175	15	0	0	0	28	0	8	17	6	8	82	0	12	1188	553	6370	0	86	368	58	41	38	60	62
ASV_6	41	66	116	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	5	63	0	17	0	0	0	227	1476	38	121	158	145	149	1587	88	566	561	0	16	166	312	52	276	0	77	77	35	108	9	110	41	22	370	107	1121	17148	287	4023	1238	0	384	30	54	43	89	0	7	0	934	94	571	441	542	4	0	0	1985	128	69	68	0	18	0	0	241	534	81	0	261	7	0	0	739	355	60	0	361	6	0	7	75	10	269	155	34	0	26	0	458	7	109	13	0	0	0	0	2382	241	9	190	258	0	0	0	0	9	487	92	312	0	0	0	700	43	160	71	398	0	0	0	0	0	0	0	328	0	45	594	42	0	17	552	62	0	96	7	668	531	4918	526	110	0	2	139	142	150	330	4	229	0	46	234	40	0	10379	0	394	2836	3794	0	116	413	1712	0	0	3	869	160	61	727	0	39	0	46	419	1024	0	21	0	0	157	89	0	349	1114	27	358	0	10	592	0	0	0	9	0	0	156	0	5	379	13	47	234	1105	0	0	0	135	76	70	0	10	8	0	162	22	9	34	22	0	827	0	0	0	1117	83	0	0	0	18	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	333	180	2871	39	22	909	14	67	44	166	0	329	487	76	21	35	406	490	0	12	10	64	0	0	7	0	96	0	7	80	272	111	11	168	43	0	0	0	24	0	0	177	23	15	68	37	0	59	0	663	0	34	0	83	8	993	162	0	0	0	0	0	0	0	0	0	0	108	8	661	45	261	2103	238	0	28	354	243	27	221	0	110	0	0	118	19	0	19	0	0	0	0	0	0	0	0	45	464	69	204	16	1259	30	366	701	0	596	3649	232	134	23	355	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	74	15774	0	0	0	0	0	4086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25202	0	0	6531	0	0	0	0	3340	0	20310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6142	13384	0	7	0	0	0	0	0	115	0	0	0	0	0	0	0	0	1903	69	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	448	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	469	46	485	306	0	0	0	0	263	32	913	226	963	0	0	0	802	133	227	0	12	0	0	0	144	78	186	0	0	0	0	0	468	231	1844	0	0	0	0	0	702	0	0	160	623	0	0	0	1067	0	534	0	0	0	0	0	2111	85	39	62	1214	0	0	0	189	0	206	0	698	0	0	0	1146	0	23	85	6419	0	0	0	0	0	0	0	581	0	0	632	1054	0	23	0	0	0	296	6	1996	37	59	1143	263	0	4	133	0	298	91	0	195	0	81	852	246	0	1111	0	30617	918	7161	0	482	1512	1442	0	0	24	911	0	0	100	0	153	0	0	2033	479	0	10	0	0	2280	287	0	130	30	0	90	0	0	89	0	0	0	32	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	30	0	0	0	15	0	0	72	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	30	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	100	0	0	0	0	0	24	0	45	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	8	35	54	8	1287	597	209	34	0	72	2571	31	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	82	177	0	0	0	0	0	9	0	40	23	19	0	0	186	0	0	0	0	0
ASV_9	142	0	6	25	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	14	0	0	7	0	36	0	0	21	0	0	0	37	0	0	3	0	0	0	44	10	237	0	64	0	61	0	135	0	0	10	43	0	0	0	0	0	0	0	0	0	1283	33	11	29	26	17	0	93	2456	24	7	7	14	20	0	104	2119	68	6	31	14	0	0	690	3445	123	20	16	13	0	0	80	1296	18	25	20	0	28	0	209	2187	26	0	58	34	12	0	237	1002	43	0	6	0	0	0	366	2965	34	22	11	14	17	0	9	3057	8	18	61	22	11	0	22	4498	16	0	12	31	94	0	9	6170	4299	1743	6127	11518	42	13	19	43	11	115	47	10	0	0	7	387	34	25	37	37	25	17	11	0	53	23	11	46	25	0	58	45	24	184	110	1813	147	55	97	76	15	49	79	0	25	17	16	32	11	25	86	7	12	0	61	44	119	13	22	48	20	12	122	59	0	41	14	150	306	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	27	99	0	0	0	0	0	0	0	0	0	112	0	0	16	7	13	0	36	0	0	251	1155	1619	338	56	38	15	0	24	113	0	18	0	0	0	0	0	0	38	77	22	106	235	715	453	97	58	200	23	0	1115	109	1954	18	1772	240	18	0	0	0	9	73	0	0	3238	6	0	76	6	0	1374	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	21	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	32	0	336	0	40	145	57	0	14	20	19
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1282	0	0	0	0	0	0	0	42895	0	0	0	0	0	0	0	1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1596	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	8383	0	0	0	0	0	0	0	4749	0	0	0	0	0	0	0	1426	0	0	0	0	0	0	0	206	0	10099	39	7291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
