Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length
15-ch-cont-12-2;Davos;Bru1;1;A;Control;YES;NO;401,92;118,21;520,13
15-ch-cont-12-2;Davos;Bru1;1;B;Control;YES;NO;380,32;184,16;564,48
15-ch-cont-21-1;Davos;Bru1;1;A;Control;YES;NO;1138,3;109,15;1247,46
15-ch-cont-21-1;Davos;Bru1;1;B;Control;YES;NO;1844,35;45,63;1889,98
15-ch-cont-21-2;Davos;Bru1;2;A;Control;YES;NO;1571,08;66,27;1637,36
15-ch-cont-21-2;Davos;Bru1;2;B;Control;YES;NO;977,46;106,42;1083,87
15-ch-cont-7-1;Davos;Bru1;1;A;Control;YES;NO;569,26;58,49;627,75
15-ch-cont-7-1;Davos;Bru1;1;B;Control;YES;NO;328,52;149,33;477,84
15-ch-OTC-12-1;Davos;Bru1;1;A;OTC;YES;NO;1363,83;67,07;1430,9
15-ch-OTC-12-1;Davos;Bru1;1;B;OTC;YES;NO;1475,18;7,51;1482,69
15-ch-OTC-12-2;Davos;Bru1;2;A;OTC;YES;NO;1079,16;89,93;1169,09
15-ch-OTC-12-2;Davos;Bru1;2;B;OTC;YES;NO;2064,64;131,15;2195,79
15-ch-OTC-21-2;Davos;Bru1;1;A;OTC;YES;NO;2598,21;39,17;2637,38
15-ch-OTC-21-2;Davos;Bru1;1;A;OTC;YES;NO;2728,51;146,09;2874,61
15-ch-OTC-7-1;Davos;Bru1;1;A;OTC;YES;NO;1305,69;63,12;1368,81
15-ch-OTC-7-1;Davos;Bru1;1;B;OTC;YES;NO;1339,91;34,07;1373,98
15-ch-OTC-7-2;Davos;Bru1;2;A;OTC;YES;NO;475,7;148,42;624,12
15-ch-OTC-7-2;Davos;Bru1;2;B;OTC;YES;NO;256,17;71,58;327,75
20-ch-cont-15-1;Davos;Cla1;1;A;Control;YES;NO;994,37;99,81;1094,18
20-ch-cont-15-1;Davos;Cla1;1;B;Control;YES;NO;790,17;85,32;875,5
20-ch-cont-15-2;Davos;Cla1;2;A;Control;YES;NO;725,62;406,5;1132,12
20-ch-cont-15-2;Davos;Cla1;2;B;Control;YES;NO;1101,64;43,49;1145,12
20-ch-cont-20-1;Davos;Cla1;1;A;Control;YES;NO;1881,26;106,35;1987,61
20-ch-cont-20-1;Davos;Cla1;1;B;Control;YES;NO;916,25;95,44;1011,69
20-ch-cont-20-2;Davos;Cla1;2;A;Control;YES;NO;1037,65;711,32;1748,98
20-ch-cont-20-2;Davos;Cla1;2;B;Control;YES;NO;520,66;3930,61;4451,27
20-ch-cont-6-2;Davos;Cla1;2;A;Control;YES;NO;2457,8;15,24;2473,05
20-ch-cont-6-2;Davos;Cla1;2;B;Control;YES;NO;1572,27;10,82;1583,08
20-ch-OTC-15-1;Davos;Cla1;1;A;OTC;YES;NO;1038,05;193,29;1231,34
20-ch-OTC-15-1;Davos;Cla1;1;B;OTC;YES;NO;786,21;485,27;1271,47
20-ch-OTC-15-2;Davos;Cla1;2;A;OTC;YES;NO;1907,51;523,23;2430,74
20-ch-OTC-15-2;Davos;Cla1;2;B;OTC;YES;NO;12139,92;126,08;12266
20-ch-OTC-20-1;Davos;Cla1;1;A;OTC;YES;NO;1220,47;88,23;1308,69
20-ch-OTC-20-1;Davos;Cla1;1;B;OTC;YES;NO;1499,23;167,77;1667
20-ch-OTC-20-2;Davos;Cla1;2;A;OTC;YES;NO;783,56;435,31;1218,86
20-ch-OTC-20-2;Davos;Cla1;2;B;OTC;YES;NO;1163,29;85,31;1248,59
20-ch-OTC-6-1;Davos;Cla1;1;A;OTC;YES;NO;821,69;100,3;922
20-ch-OTC-6-1;Davos;Cla1;1;B;OTC;YES;NO;562,28;395,41;957,69
20-ch-OTC-6-2;Davos;Cla1;2;A;OTC;YES;NO;636,78;246,03;882,81
20-ch-OTC-6-2;Davos;Cla1;2;B;OTC;YES;NO;694,69;243,69;938,38
25-ch-cont-14-1;Davos;Jat1;1;A;Control;YES;NO;1608,88;345,03;1953,9
25-ch-cont-14-1;Davos;Jat1;1;B;Control;YES;NO;2094,66;418,19;2512,86
25-ch-cont-14-2;Davos;Jat1;2;A;Control;YES;NO;408,75;1499,93;1908,68
25-ch-cont-14-2;Davos;Jat1;2;B;Control;YES;NO;271,79;2084,94;2356,74
25-ch-cont-19-1;Davos;Jat1;1;A;Control;YES;NO;2830,07;907,38;3737,45
25-ch-cont-19-1;Davos;Jat1;1;B;Control;YES;NO;1082,88;355,51;1438,39
25-ch-cont-19-2;Davos;Jat1;2;A;Control;YES;NO;1885,51;1239,16;3124,67
25-ch-cont-19-2;Davos;Jat1;2;B;Control;YES;NO;1124,98;1102,56;2227,54
25-ch-cont-6-1;Davos;Jat1;1;A;Control;YES;NO;2630,51;243,7;2874,2
25-ch-cont-6-1;Davos;Jat1;1;B;Control;YES;NO;2130,36;189,94;2320,3
25-ch-cont-6-2;Davos;Jat1;2;A;Control;YES;NO;1508,42;461,12;1969,55
25-ch-cont-6-2;Davos;Jat1;2;B;Control;YES;NO;958,95;903,48;1862,43
25-ch-OTC-14-1;Davos;Jat1;1;A;OTC;YES;NO;811,94;3647,75;4459,69
25-ch-OTC-14-1;Davos;Jat1;1;B;OTC;YES;NO;3700,93;438,32;4139,24
25-ch-OTC-14-2;Davos;Jat1;2;A;OTC;YES;NO;587,9;448,94;1036,84
25-ch-OTC-14-2;Davos;Jat1;2;B;OTC;YES;NO;651,64;362,02;1013,66
25-ch-OTC-19-1;Davos;Jat1;1;A;OTC;YES;NO;393,65;1563,86;1957,5
25-ch-OTC-19-1;Davos;Jat1;1;B;OTC;YES;NO;799,22;757,75;1556,98
25-ch-OTC-6-1;Davos;Jat1;1;A;OTC;YES;NO;39021,13;58,54;39079,67
25-ch-OTC-6-1;Davos;Jat1;1;B;OTC;YES;NO;26087,6;7,97;26095,57
25-ch-OTC-6-2;Davos;Jat1;2;A;OTC;YES;NO;1476,65;463,42;1940,06
25-ch-OTC-6-2;Davos;Jat1;2;B;OTC;YES;NO;2724,31;189,62;2913,93
Ad-ad-cont-1-1;Andorra;And1;1;A;Control;YES;NO;752,36;454,47;1206,84
Ad-ad-cont-1-1;Andorra;And1;1;B;Control;YES;NO;278,29;466,33;744,62
Ad-ad-cont-2-2;Andorra;And1;2;A;Control;YES;NO;729,41;270,29;999,7
Ad-ad-cont-2-2;Andorra;And1;2;B;Control;YES;NO;485,66;300,65;786,31
Ad-ad-cont-3-1;Andorra;And1;1;A;Control;YES;NO;657,7;682,86;1340,55
Ad-ad-cont-3-1;Andorra;And1;1;B;Control;YES;NO;652,48;641,54;1294,02
Ad-ad-cont-3-2;Andorra;And1;2;A;Control;YES;NO;189,75;286,56;476,31
Ad-ad-cont-3-2;Andorra;And1;2;B;Control;YES;NO;555,78;450,84;1006,61
Ad-ad-cont-4-1;Andorra;And1;1;A;Control;YES;NO;415,21;256,67;671,88
Ad-ad-cont-4-1;Andorra;And1;1;B;Control;YES;NO;201,7;205,58;407,28
Ad-ad-OTC-1-1;Andorra;And1;1;A;OTC;YES;NO;1537,17;1657,57;3194,74
Ad-ad-OTC-1-1;Andorra;And1;1;B;OTC;YES;NO;1256,65;840,48;2097,13
Ad-ad-OTC-1-2;Andorra;And1;2;A;OTC;YES;NO;350,12;1408,1;1758,22
Ad-ad-OTC-1-2;Andorra;And1;2;B;OTC;YES;NO;37,85;2157,57;2195,42
Ad-ad-OTC-2-1;Andorra;And1;1;A;OTC;YES;NO;406,44;1196,3;1602,74
Ad-ad-OTC-2-1;Andorra;And1;1;B;OTC;YES;NO;198,66;846,15;1044,81
Ad-ad-OTC-3-1;Andorra;And1;1;A;OTC;YES;NO;44,73;216,18;260,91
Ad-ad-OTC-3-1;Andorra;And1;1;B;OTC;YES;NO;129,31;221,67;350,98
Ad-ad-OTC-3-2;Andorra;And1;2;A;OTC;YES;NO;589,88;495,95;1085,82
Ad-ad-OTC-3-2;Andorra;And1;2;B;OTC;YES;NO;595,79;490,87;1086,66
Ad-ad-OTC-4-1;Andorra;And1;1;A;OTC;YES;NO;449,35;1568,64;2017,99
Ad-ad-OTC-4-1;Andorra;And1;1;B;OTC;YES;NO;770,35;1647,92;2418,28
Ad-ad-OTC-4-2;Andorra;And1;2;A;OTC;YES;NO;432,75;1144,23;1576,99
