Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG;Vegetationtype;Label2;Startyear;Time
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-cont-12-2;12;C;alpine grassland;Alpine grassland;Swi_Br_12_B_cont;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-cont-21-1;21;C;alpine grassland;Alpine grassland;Swi_Br_21_A_cont;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-cont-21-2;21;C;alpine grassland;Alpine grassland;Swi_Br_21B_cont;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-cont-7-1;7;C;alpine grassland;Alpine grassland;Swi_Br_7A_cont;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-OTC-12-1;12;OTC;alpine grassland;Alpine grassland;Swi_Br_12A_OTC;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-OTC-12-2;12;OTC;alpine grassland;Alpine grassland;Swi_Br_12_B_OTC;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-OTC-21-2;21;OTC;alpine grassland;Alpine grassland;Swi_Br_21_OTC_B;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-OTC-7-1;7;OTC;alpine grassland;Alpine grassland;Swi_Bru_7A_OTC;2023;1,00
15.ch;Davos;46,76;9,8578;3,35;1367,6;1534;2;15-ch-OTC-7-2;7;OTC;alpine grassland;Alpine grassland;Swi_Bru_7B_OTC;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-cont-15-1;15;C;alpine grassland;Alpine grassland;Sw_CLA_15A_AMBI;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-cont-15-2;15;C;alpine grassland;Alpine grassland;Sw_CLA_V_15B_AMBI;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-cont-20-1;20;C;alpine grassland;Alpine grassland;Swi_CLA_20_A_cont;2023;1,00
20.ch;Davos;46,76;9,8578;0,25;1457,2;2084;2;20-ch-cont-20-2;20;C;alpine grassland;Alpine grassland;Swi_CLA_ALP_20B_cont;2023;1,00
