Label;Shrub;Deciduous_shrub;Evergreen_shrub;Forb;Forb_nonNfix;Forb_Nfix;Graminoid;Grass;Sedge;Rush;Bryophyte;Lichen;Bare_Rock_Litter
15-ch-cont-12-2;0;NA;NA;0.85;NA;NA;0.15;0.15;0;0;0;0;0
15-ch-cont-21-1;0;NA;NA;0.8;NA;NA;0.2;0.2;0;0;0;0;0
15-ch-cont-21-2;0;NA;NA;0.4;NA;NA;0.6;0.6;0;0;0;0;0
15-ch-cont-7-1;0;NA;NA;0.98;NA;NA;0.02;0.02;0;0;0;0;0
15-ch-OTC-12-1;0;NA;NA;0.65;NA;NA;0.35;0.35;0;0;0;0;0
15-ch-OTC-12-2;0;NA;NA;0.85;NA;NA;0.14;0.14;0;0;0;0;0.01
15-ch-OTC-21-2;0;NA;NA;0.6;NA;NA;0.4;0.4;0;0;0;0;0
15-ch-OTC-7-1;0;NA;NA;0.8;NA;NA;0.2;0.2;0;0;0;0;0
15-ch-OTC-7-2;0;NA;NA;0.4;NA;NA;0.6;0.6;0;0;0;0;0
20-ch-cont-15-1;0;NA;NA;0.184782609;NA;NA;0.815217391;0.815217391;0;0;0;0;0
20-ch-cont-15-2;0;NA;NA;0.45;NA;NA;0.4;0.4;0;0;0;0;0.15
20-ch-cont-20-1;0;NA;NA;0.3;NA;NA;0.65;0.65;0;0;0;0;0.05
20-ch-cont-20-2;0.00098912;NA;NA;0.524233432;NA;NA;0.445103858;0.445103858;0;0;0;0;0.029673591
20-ch-cont-6-2;0;NA;NA;0.33;NA;NA;0.65;0.65;0;0;0;0;0.02
20-ch-OTC-15-1;0;NA;NA;0.35;NA;NA;0.45;0.45;0;0;0;0;0.2
20-ch-OTC-15-2;0;NA;NA;0.5;NA;NA;0.5;0.5;0;0;0;0;0
20-ch-OTC-20-1;0.000999001;NA;NA;0.34965035;NA;NA;0.599400599;0.599400599;0;0;0;0;0.04995005
20-ch-OTC-20-2;0;NA;NA;0.652631579;NA;NA;0.347368421;0.347368421;0;0;0;0;0
20-ch-OTC-6-1;0;NA;NA;0.58;NA;NA;0.32;0.32;0;0;0;0;0.1
20-ch-OTC-6-2;0;NA;NA;0.6;NA;NA;0.3;0.3;0;0;0;0;0.1
25-ch-cont-14-1;0.116504854;NA;NA;0.097087379;NA;NA;0.339805825;0.339805825;0;0;0.213592233;0.165048544;0.067961165
25-ch-cont-14-2;0.05;NA;NA;0.2;NA;NA;0.28;0.28;0;0;0.02;0.27;0.18
25-ch-cont-19-1;0.077669903;NA;NA;0.077669903;NA;NA;0.631067961;0.631067961;0;0;0.097087379;0.019417476;0.097087379
25-ch-cont-19-2;0.08;NA;NA;0.15;NA;NA;0.25;0.25;0;0;0.02;0.2;0.3
25-ch-cont-6-1;0;NA;NA;0.148514851;NA;NA;0.594059406;0.594059406;0;0;0.069306931;0.03960396;0.148514851
25-ch-cont-6-2;0;NA;NA;0.18;NA;NA;0.7;0.7;0;0;0.05;0;0.07
25-ch-OTC-14-1;0.04950495;NA;NA;0.267326733;NA;NA;0.267326733;0.267326733;0;0;0.01980198;0.346534653;0.04950495
25-ch-OTC-14-2;0.24;NA;NA;0.2;NA;NA;0.4;0.4;0;0;0.01;0.12;0.03
25-ch-OTC-19-1;0.00101833;NA;NA;0.101832994;NA;NA;0.885947047;0.885947047;0;0;0.00101833;0.010183299;0
25-ch-OTC-6-1;0.004950495;NA;NA;0.495049505;NA;NA;0.198019802;0.198019802;0;0;0.247524752;0.004950495;0.04950495
25-ch-OTC-6-2;0;NA;NA;0.3;NA;NA;0.4;0.4;0;0;0.25;0.02;0.03
Ad-ad-cont-1-1;0.38961039;0.357142857;0;0.019480519;0.019480519;0;0.064935065;0.064935065;0;0;0.25974026;0.006493506;0.25974026
Ad-ad-cont-2-2;0.564516129;0.564516129;0;0.024193548;0.024193548;0;0.080645161;0.080645161;0;0;0.201612903;0.008064516;0.120967742
Ad-ad-cont-3-1;0.481927711;0.481927711;0;0.060240964;0.060240964;0;0.060240964;0.060240964;0;0;0.301204819;0.006024096;0.090361446
