Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Pot+sand_wet_(g);Pot+sand_dry_(g);wet_(g);proportion_water_in_sample_(%);sample_weight_wet_(g);sample_weight_dry_(g);Hyphae_uns;Hyphae_sept;Total_hyphae;Count_strikes;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length;lab_analyses;Meshbag_collected;Extra
15-ch-cont-12-2;Davos;Bru1;1;B;Control;YES;NO;42,98;40,19;2,79;0,06;10,63;9,94;95;46;141;25;380,32;184,16;564,48;29/okt;;Broken meshbag
15-ch-cont-12-2;Davos;Bru1;1;A;Control;YES;NO;42,98;40,19;2,79;0,06;10,8;10,1;102;30;132;25;401,92;118,21;520,13;29/okt;;Broken meshbag
15-ch-cont-21-1;Davos;Bru1;1;A;Control;YES;NO;55,13;52,35;2,78;0,05;10,75;10,21;292;28;320;25;1138,3;109,15;1247,46;29/okt;;Broken meshbag
15-ch-cont-21-1;Davos;Bru1;1;B;Control;YES;NO;55,13;52,35;2,78;0,05;11,02;10,46;485;12;497;25;1844,35;45,63;1889,98;29/okt;;Broken meshbag
15-ch-cont-21-2;Davos;Bru1;2;B;Control;YES;NO;38,62;35,74;2,88;0,07;10,91;10,1;248;27;275;25;977,46;106,42;1083,87;29/okt;;Broken meshbag
15-ch-cont-21-2;Davos;Bru1;2;A;Control;YES;NO;38,62;35,74;2,88;0,07;11,03;10,21;403;17;420;25;1571,08;66,27;1637,36;29/okt;;Broken meshbag
15-ch-cont-7-1;Davos;Bru1;1;B;Control;YES;NO;31,27;29,55;1,72;0,06;11,28;10,66;88;40;128;25;328,52;149,33;477,84;30/okt;;Broken meshbag
15-ch-cont-7-1;Davos;Bru1;1;A;Control;YES;NO;31,27;29,55;1,72;0,06;10,8;10,21;146;15;161;25;569,26;58,49;627,75;30/okt;;Broken meshbag
15-ch-OTC-12-1;Davos;Bru1;1;A;OTC;YES;NO;50,72;49,33;1,39;0,03;10,98;10,68;366;18;384;25;1363,83;67,07;1430,9;30/okt;;Broken meshbag
15-ch-OTC-12-1;Davos;Bru1;1;B;OTC;YES;NO;50,72;49,33;1,39;0,03;10,9;10,6;393;2;395;25;1475,18;7,51;1482,69;30/okt;;Broken meshbag
15-ch-OTC-12-2;Davos;Bru1;2;A;OTC;YES;NO;33,63;31,69;1,94;0,06;11,27;10,62;288;24;312;25;1079,16;89,93;1169,09;29/okt;;Broken meshbag
15-ch-OTC-12-2;Davos;Bru1;2;B;OTC;YES;NO;33,63;31,69;1,94;0,06;11,27;10,62;551;35;586;25;2064,64;131,15;2195,79;29/okt;;Broken meshbag
15-ch-OTC-21-2;Davos;Bru1;1;A;OTC;YES;NO;38,16;32,04;6,12;0,16;10,89;9,14;597;9;606;25;2598,21;39,17;2637,38;29/okt;;Broken meshbag
15-ch-OTC-21-2;Davos;Bru1;1;A;OTC;YES;NO;38,16;32,04;6,12;0,16;11,03;9,26;635;34;669;25;2728,51;146,09;2874,61;29/okt;;Broken meshbag
15-ch-OTC-7-1;Davos;Bru1;1;A;OTC;YES;NO;45,64;43,15;2,49;0,05;10,67;10,09;331;16;347;25;1305,69;63,12;1368,81;30/okt;;Broken meshbag, roots
15-ch-OTC-7-1;Davos;Bru1;1;B;OTC;YES;NO;45,64;43,15;2,49;0,05;11,12;10,51;354;9;363;25;1339,91;34,07;1373,98;30/okt;;kapot zakjes
15-ch-OTC-7-2;Davos;Bru1;2;B;OTC;YES;NO;44,32;42,95;1,37;0,03;10,9;10,56;68;19;87;25;256,17;71,58;327,75;30/okt;;Broken meshbag
15-ch-OTC-7-2;Davos;Bru1;2;A;OTC;YES;NO;44,32;42,95;1,37;0,03;10,79;10,46;125;39;164;25;475,7;148,42;624,12;30/okt;;Broken meshbag, roots
20-ch-cont-15-1;Davos;Cla1;1;B;Control;YES;NO;53,23;50,89;2,34;0,04;11,22;10,73;213;23;236;25;790,17;85,32;875,5;7/nov;;Broken meshbag,wet
20-ch-cont-15-1;Davos;Cla1;1;A;Control;YES;NO;53,23;50,89;2,34;0,04;11,26;10,77;269;27;296;25;994,37;99,81;1094,18;7/nov;;Broken meshbag,wet
20-ch-cont-15-2;Davos;Cla1;2;A;Control;YES;NO;47,19;45,1;2,09;0,04;10,96;10,47;191;107;298;25;725,62;406,5;1132,12;7/nov;;Broken meshbag
20-ch-cont-15-2;Davos;Cla1;2;B;Control;YES;NO;47,19;45,1;2,09;0,04;11,49;10,98;304;12;316;25;1101,64;43,49;1145,12;7/nov;;Broken meshbag
20-ch-cont-20-1;Davos;Cla1;1;B;Control;YES;NO;46,99;45,69;1,3;0,03;10,72;10,42;240;25;265;25;916,25;95,44;1011,69;30/okt;;
20-ch-cont-20-1;Davos;Cla1;1;A;Control;YES;NO;46,99;45,69;1,3;0,03;11,16;10,85;513;29;542;25;1881,26;106,35;1987,61;30/okt;;
20-ch-cont-20-2;Davos;Cla1;2;B;Control;YES;NO;48,13;45,7;2,43;0,05;11,43;10,85;142;1072;1214;25;520,66;3930,61;4451,27;30/okt;;
20-ch-cont-20-2;Davos;Cla1;2;A;Control;YES;NO;48,13;45,7;2,43;0,05;11,43;10,85;283;194;477;25;1037,65;711,32;1748,98;30/okt;;
20-ch-cont-6-2;Davos;Cla1;2;B;Control;YES;NO;58,38;56,66;1,72;0,03;11,37;11,04;436;3;439;25;1572,27;10,82;1583,08;30/okt;;
20-ch-cont-6-2;Davos;Cla1;2;A;Control;YES;NO;58,38;56,66;1,72;0,03;10,76;10,44;645;4;649;25;2457,8;15,24;2473,05;30/okt;;
20-ch-OTC-15-1;Davos;Cla1;1;B;OTC;YES;NO;47,77;46,79;0,98;0,02;10,8;10,58;209;129;338;25;786,21;485,27;1271,47;12/nov;;
20-ch-OTC-15-1;Davos;Cla1;1;A;OTC;YES;NO;47,77;46,79;0,98;0,02;11,35;11,12;290;54;344;25;1038,05;193,29;1231,34;12/nov;;
20-ch-OTC-15-2;Davos;Cla1;2;A;OTC;YES;NO;63,81;57,28;6,53;0,1;10,76;9,66;463;127;590;25;1907,51;523,23;2430,74;12/nov;;Broken meshbag
20-ch-OTC-15-2;Davos;Cla1;2;B;OTC;YES;NO;63,81;57,28;6,53;0,1;10,9;9,78;2985;31;3016;25;12139,92;126,08;12266;12/nov;;Broken meshbag
20-ch-OTC-20-1;Davos;Cla1;1;A;OTC;YES;NO;39,99;39,14;0,85;0,02;11,06;10,82;332;24;356;25;1220,47;88,23;1308,69;12/nov;;
20-ch-OTC-20-1;Davos;Cla1;1;B;OTC;YES;NO;39,99;39,14;0,85;0,02;11,39;11,15;420;47;467;25;1499,23;167,77;1667;12/nov;;roots
20-ch-OTC-20-2;Davos;Cla1;2;A;OTC;YES;NO;58,39;54,13;4,26;0,07;11,34;10,51;207;115;322;25;783,56;435,31;1218,86;7/nov;;
20-ch-OTC-20-2;Davos;Cla1;2;B;OTC;YES;NO;58,39;54,13;4,26;0,07;11,07;10,26;300;22;322;25;1163,29;85,31;1248,59;7/nov;;
20-ch-OTC-6-1;Davos;Cla1;1;B;OTC;YES;NO;54,3;52,25;2,05;0,04;11,4;10,97;155;109;264;25;562,28;395,41;957,69;29/okt;;
20-ch-OTC-6-1;Davos;Cla1;1;A;OTC;YES;NO;54,3;52,25;2,05;0,04;10,72;10,32;213;26;239;25;821,69;100,3;922;29/okt;;
20-ch-OTC-6-2;Davos;Cla1;2;A;OTC;YES;NO;55,55;53,36;2,19;0,04;11,45;11;176;68;244;25;636,78;246,03;882,81;29/okt;;
20-ch-OTC-6-2;Davos;Cla1;2;B;OTC;YES;NO;55,55;53,36;2,19;0,04;11,39;10,94;191;67;258;25;694,69;243,69;938,38;29/okt;;
25-ch-cont-14-1;Davos;Jat1;1;A;Control;YES;NO;58,38;55,21;3,17;0,05;11,22;10,61;429;92;521;25;1608,88;345,03;1953,9;7/nov;;wet
25-ch-cont-14-1;Davos;Jat1;1;B;Control;YES;NO;58,38;55,21;3,17;0,05;11,37;10,75;566;113;679;25;2094,66;418,19;2512,86;7/nov;;wet
25-ch-cont-14-2;Davos;Jat1;2;B;Control;YES;NO;47,77;46,75;1,02;0,02;11,37;11,13;76;583;659;25;271,79;2084,94;2356,74;12/nov;;wet
25-ch-cont-14-2;Davos;Jat1;2;A;Control;YES;NO;47,77;46,75;1,02;0,02;11,44;11,2;115;422;537;25;408,75;1499,93;1908,68;12/nov;;wet, roots
25-ch-cont-19-1;Davos;Jat1;1;B;Control;YES;NO;62;56,06;5,94;0,1;10,77;9,74;265;87;352;25;1082,88;355,51;1438,39;7/nov;;Broken meshbag
25-ch-cont-19-1;Davos;Jat1;1;A;Control;YES;NO;62;56,06;5,94;0,1;11,01;9,96;708;227;935;25;2830,07;907,38;3737,45;7/nov;;Broken meshbag, roots
25-ch-cont-19-2;Davos;Jat1;2;B;Control;YES;NO;52,12;50,54;1,58;0,03;10,98;10,65;301;295;596;25;1124,98;1102,56;2227,54;12/nov;;wet
25-ch-cont-19-2;Davos;Jat1;2;A;Control;YES;NO;52,12;50,54;1,58;0,03;10,73;10,4;493;324;817;25;1885,51;1239,16;3124,67;12/nov;;wet, roots
25-ch-cont-6-1;Davos;Jat1;1;B;Control;YES;NO;39,39;38,4;0,99;0,03;10,96;10,68;572;51;623;25;2130,36;189,94;2320,3;7/nov;;
