Site;Location;Lattitude;Longitude;MAT;MAP;elevation;participation;Label;Block;Treatment;VegetationOG
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-OTC-21-2;21;OTC;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-OTC-7-1;7;OTC;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-OTC-7-2;7;OTC;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-OTC-12-2;12;OTC;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-cont-12-2;12;C;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-cont-21-1;21;C;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-cont-21-2;21;C;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-cont-7-1;7;C;alpine grassland
15.ch;Davos;4.677.506;981.216;3.35;1367.6;1534;2;15-ch-OTC-12-1;12;OTC;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-OTC-6-2;6;OTC;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-cont-20-1;20;C;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-cont-20-2;20;C;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-cont-15-1;15;C;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-cont-15-2;15;C;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-OTC-15-2;15;OTC;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-OTC-20-1;20;OTC;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-cont-6-2;6;C;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-OTC-15-1;15;OTC;alpine grassland
20.ch;Davos;4.676.994;983.265;0.25;1457.2;2084;2;20-ch-OTC-20-2;20;OTC;alpine grassland
